#2,4,8,16,32 iv run:
#key_index key_hex budget success seconds
0 754122d0ffa6f4da7e581eb5ad4d2f20653d419fb46ef35e2c755140c63c25b4 2 1 21.187
0 754122d0ffa6f4da7e581eb5ad4d2f20653d419fb46ef35e2c755140c63c25b4 4 1 skip-monotone
0 754122d0ffa6f4da7e581eb5ad4d2f20653d419fb46ef35e2c755140c63c25b4 8 1 skip-monotone
0 754122d0ffa6f4da7e581eb5ad4d2f20653d419fb46ef35e2c755140c63c25b4 16 1 skip-monotone
0 754122d0ffa6f4da7e581eb5ad4d2f20653d419fb46ef35e2c755140c63c25b4 32 1 skip-monotone
1 99eb7baf22ee3a8a44e8d481d3a99b0d3cea41ef61780dc0b6eb15be7daaa094 2 1 22.147
1 99eb7baf22ee3a8a44e8d481d3a99b0d3cea41ef61780dc0b6eb15be7daaa094 4 1 skip-monotone
1 99eb7baf22ee3a8a44e8d481d3a99b0d3cea41ef61780dc0b6eb15be7daaa094 8 1 skip-monotone
1 99eb7baf22ee3a8a44e8d481d3a99b0d3cea41ef61780dc0b6eb15be7daaa094 16 1 skip-monotone
1 99eb7baf22ee3a8a44e8d481d3a99b0d3cea41ef61780dc0b6eb15be7daaa094 32 1 skip-monotone
2 8f90f281fc5acd23a65e4bd2a1fd9e69674941deb8eecf8c989a06053bae452b 2 0 10.088
2 8f90f281fc5acd23a65e4bd2a1fd9e69674941deb8eecf8c989a06053bae452b 4 0 10.094
2 8f90f281fc5acd23a65e4bd2a1fd9e69674941deb8eecf8c989a06053bae452b 8 1 22.132
2 8f90f281fc5acd23a65e4bd2a1fd9e69674941deb8eecf8c989a06053bae452b 16 1 skip-monotone
2 8f90f281fc5acd23a65e4bd2a1fd9e69674941deb8eecf8c989a06053bae452b 32 1 skip-monotone
3 8c738cd9d8bac70cf2c0144782a8d138506e01f1a352346fe05547b648ba9167 2 0 9.048
3 8c738cd9d8bac70cf2c0144782a8d138506e01f1a352346fe05547b648ba9167 4 1 20.146
3 8c738cd9d8bac70cf2c0144782a8d138506e01f1a352346fe05547b648ba9167 8 1 skip-monotone
3 8c738cd9d8bac70cf2c0144782a8d138506e01f1a352346fe05547b648ba9167 16 1 skip-monotone
3 8c738cd9d8bac70cf2c0144782a8d138506e01f1a352346fe05547b648ba9167 32 1 skip-monotone
4 dc86a656ad72d63d74080e84770343c231507c1d35896507682eae75083d47fe 2 0 15.138
4 dc86a656ad72d63d74080e84770343c231507c1d35896507682eae75083d47fe 4 1 18.167
4 dc86a656ad72d63d74080e84770343c231507c1d35896507682eae75083d47fe 8 1 skip-monotone
4 dc86a656ad72d63d74080e84770343c231507c1d35896507682eae75083d47fe 16 1 skip-monotone
4 dc86a656ad72d63d74080e84770343c231507c1d35896507682eae75083d47fe 32 1 skip-monotone
5 076ae184453117e63639f9bfae4eb395747a5227c8be60b3c15f0a4394da245e 2 0 9.064
5 076ae184453117e63639f9bfae4eb395747a5227c8be60b3c15f0a4394da245e 4 0 9.062
5 076ae184453117e63639f9bfae4eb395747a5227c8be60b3c15f0a4394da245e 8 1 23.157
5 076ae184453117e63639f9bfae4eb395747a5227c8be60b3c15f0a4394da245e 16 1 skip-monotone
5 076ae184453117e63639f9bfae4eb395747a5227c8be60b3c15f0a4394da245e 32 1 skip-monotone
6 9ef87590eb09082fc74266ea9103a0093b1c9854f58fcaef89dcd6dcd5ba90f0 2 0 9.096
6 9ef87590eb09082fc74266ea9103a0093b1c9854f58fcaef89dcd6dcd5ba90f0 4 0 15.139
6 9ef87590eb09082fc74266ea9103a0093b1c9854f58fcaef89dcd6dcd5ba90f0 8 1 20.140
6 9ef87590eb09082fc74266ea9103a0093b1c9854f58fcaef89dcd6dcd5ba90f0 16 1 skip-monotone
6 9ef87590eb09082fc74266ea9103a0093b1c9854f58fcaef89dcd6dcd5ba90f0 32 1 skip-monotone
7 ba2a8e2b7875a482e5a3fcfa548ff51d3a83a9fe7c2c5f0aee11a5d4d22dd7b0 2 0 10.105
7 ba2a8e2b7875a482e5a3fcfa548ff51d3a83a9fe7c2c5f0aee11a5d4d22dd7b0 4 1 23.220
7 ba2a8e2b7875a482e5a3fcfa548ff51d3a83a9fe7c2c5f0aee11a5d4d22dd7b0 8 1 skip-monotone
