trial,key_hex,k8_hex,outer_success,true_lane_rank,outer_wall_seconds,inward_outcome,inward_success,inward_wall_seconds,first_tier_failure,joint_success
1,8F49D9A8C3C8F74BB51D0F15C27E96F092F658E352F06D0F76409B067CC486DC,7CC486DC,1,1,0.288230036,SUCCESS,1,126.640721235,,1
2,E51C1B68B45A347206F65C72DAF48A117158BC813DD199C1FEF9343EFE763354,FE763354,1,1,0.178317935,SUCCESS,1,190.714238109,,1
3,3F7162DAD62C1BDF1703CD7076AB1365828B72A0F7A66C9890D910C8845C0400,845C0400,1,1,0.220157935,SUCCESS,1,284.051591487,,1
4,6A1B2ADBE2708615E77242D6FD26A0A7A5E583D2224E4F61BE0A114D392446A5,392446A5,1,1,0.155584732,SUCCESS,1,181.067530241,,1
5,64031526F8804B99226BF30E78F6D350F6CA23D4CCB6489037EE2F0B7098E4DA,7098E4DA,1,1,0.604782688,SUCCESS,1,164.377037843,,1
6,83C2DDE1B9259DBE79D6BC74F43CFEDF212D48597FEEAF18AA91A55129774952,29774952,1,1,0.363531707,SUCCESS,1,264.037796148,,1
7,2AF2964D18B84818A30D489CB12944B44C3214DFDD991CCBB2C8D4FADE7B9F87,DE7B9F87,1,1,0.235235472,SUCCESS,1,153.507861976,,1
8,E2F649087FDFE094206A93AAE31CE81574A09606C0FA8B3D5A06330B096C1C04,096C1C04,1,1,0.559232860,SUCCESS,1,202.515412712,,1
9,F0F52CA287D025686C908144E47013FC567EB0207510D25FAA157098A513DEC0,A513DEC0,1,1,0.262347520,SUCCESS,1,133.140635745,,1
10,6C7E0C6E7F9A0DEBF6F2039EDEC9A8A0A614EB62D83DF887BE1456C3FAA56330,FAA56330,1,1,0.175680351,SUCCESS,1,132.191294988,,1
11,00A52C7FD7059BB311A34FB8C29BB778B1DB60B7B66517FFF3D3C261BE1DAB00,BE1DAB00,1,1,0.614390467,SUCCESS,1,124.966389690,,1
12,E6F6284A1752824A71A083DEC3C8F850947CEC7BA6CA563EA1F0A8FDF8FB526E,F8FB526E,1,1,0.331870106,SUCCESS,1,187.448729004,,1
13,3E93E4A178D98645804D4776BEDC23CBB5A05563CF2C712F133A4E505525671F,5525671F,1,1,0.161630808,SUCCESS,1,159.936577724,,1
14,B59E4C34E9E9E92578D37E31BCDE8A3FE7F4D8EE5084A878914A064A349E67EE,349E67EE,1,1,0.285675134,SUCCESS,1,180.190661004,,1
